time,Gphi,Gpsi,Ggamma,mass,Px,Py,Pz,Vx,Vy,Vz,Ma,H,semi_major_axis,time_to_go 
147.729000,30.954200,-0.100000,0.000000,121166.536709,93243.903809,76078.411800,-64407.392155,2176.095110,1176.192344,-430.762438,0.000000,77089.215098,3400057.057326,328.507001,
147.730000,30.954200,-0.100000,0.000000,121166.227630,93246.079908,76079.587990,-64407.822917,2176.102120,1176.187062,-430.762328,0.000000,77090.427008,3400058.254401,328.507001,
147.731000,31.004200,-0.150000,0.000000,121165.918551,93248.256014,76080.764175,-64408.253680,2176.109127,1176.181787,-430.762211,0.000000,77091.638913,3400059.451250,328.531909,
147.732000,31.004200,-0.150000,0.000000,121165.609472,93250.432126,76081.940354,-64408.684442,2176.116134,1176.176512,-430.762094,0.000000,77092.850814,3400060.648104,328.531909,
147.733000,31.004200,-0.150000,0.000000,121165.300393,93252.608246,76083.116528,-64409.115204,2176.123141,1176.171237,-430.761977,0.000000,77094.062711,3400061.844964,328.531909,
147.734000,31.004200,-0.150000,0.000000,121164.991314,93254.784373,76084.292696,-64409.545966,2176.130147,1176.165961,-430.761860,0.000000,77095.274603,3400063.041829,328.531909,
147.735000,31.004200,-0.150000,0.000000,121164.682235,93256.960506,76085.468860,-64409.976728,2176.137154,1176.160686,-430.761743,0.000000,77096.486491,3400064.238700,328.531909,
147.736000,31.004200,-0.150000,0.000000,121164.373156,93259.136647,76086.645018,-64410.407489,2176.144161,1176.155411,-430.761627,0.000000,77097.698374,3400065.435576,328.531909,
147.737000,31.004200,-0.150000,0.000000,121164.064077,93261.312795,76087.821170,-64410.838251,2176.151168,1176.150136,-430.761510,0.000000,77098.910253,3400066.632457,328.531909,
147.738000,31.004200,-0.150000,0.000000,121163.754998,93263.488949,76088.997318,-64411.269012,2176.158175,1176.144861,-430.761393,0.000000,77100.122128,3400067.829345,328.531909,
147.739000,31.004200,-0.150000,0.000000,121163.445919,93265.665111,76090.173460,-64411.699774,2176.165181,1176.139586,-430.761276,0.000000,77101.333998,3400069.026237,328.531909,
147.740000,31.004200,-0.150000,0.000000,121163.136840,93267.841280,76091.349597,-64412.130535,2176.172188,1176.134311,-430.761159,0.000000,77102.545864,3400070.223135,328.531909,
147.741000,31.054200,-0.200000,0.000000,121162.827761,93270.017455,76092.525729,-64412.561296,2176.179191,1176.129042,-430.761034,0.000000,77103.757725,3400071.419806,328.383181,
147.742000,31.054200,-0.200000,0.000000,121162.518682,93272.193638,76093.701855,-64412.992057,2176.186194,1176.123773,-430.760910,0.000000,77104.969582,3400072.616481,328.383181,
147.743000,31.054200,-0.200000,0.000000,121162.209603,93274.369828,76094.877976,-64413.422818,2176.193198,1176.118504,-430.760786,0.000000,77106.181434,3400073.813162,328.383181,
147.744000,31.054200,-0.200000,0.000000,121161.900524,93276.546024,76096.054092,-64413.853578,2176.200201,1176.113236,-430.760662,0.000000,77107.393282,3400075.009849,328.383181,
147.745000,31.054200,-0.200000,0.000000,121161.591445,93278.722228,76097.230203,-64414.284339,2176.207204,1176.107967,-430.760537,0.000000,77108.605126,3400076.206541,328.383181,
147.746000,31.054200,-0.200000,0.000000,121161.282366,93280.898439,76098.406308,-64414.715100,2176.214207,1176.102698,-430.760413,0.000000,77109.816965,3400077.403239,328.383181,
147.747000,31.054200,-0.200000,0.000000,121160.973287,93283.074656,76099.582408,-64415.145860,2176.221210,1176.097429,-430.760289,0.000000,77111.028800,3400078.599942,328.383181,
147.748000,31.054200,-0.200000,0.000000,121160.664208,93285.250881,76100.758503,-64415.576620,2176.228214,1176.092161,-430.760164,0.000000,77112.240630,3400079.796650,328.383181,
147.749000,31.054200,-0.200000,0.000000,121160.355129,93287.427113,76101.934592,-64416.007380,2176.235217,1176.086892,-430.760040,0.000000,77113.452456,3400080.993364,328.383181,
147.750000,31.054200,-0.200000,0.000000,121160.046050,93289.603352,76103.110677,-64416.438140,2176.242220,1176.081623,-430.759916,0.000000,77114.664278,3400082.190084,328.383181,
147.751000,31.104200,-0.250000,0.000000,121159.736971,93291.779597,76104.286756,-64416.868900,2176.249219,1176.076361,-430.759784,0.000000,77115.876095,3400083.386574,328.359360,
147.752000,31.104200,-0.250000,0.000000,121159.427892,93293.955850,76105.462829,-64417.299660,2176.256219,1176.071098,-430.759653,0.000000,77117.087908,3400084.583069,328.359360,
147.753000,31.104200,-0.250000,0.000000,121159.118813,93296.132110,76106.638898,-64417.730419,2176.263218,1176.065836,-430.759521,0.000000,77118.299716,3400085.779569,328.359360,
147.754000,31.104200,-0.250000,0.000000,121158.809734,93298.308376,76107.814961,-64418.161179,2176.270218,1176.060573,-430.759390,0.000000,77119.511520,3400086.976076,328.359360,
147.755000,31.104200,-0.250000,0.000000,121158.500655,93300.484650,76108.991019,-64418.591938,2176.277217,1176.055311,-430.759258,0.000000,77120.723319,3400088.172587,328.359360,
147.756000,31.104200,-0.250000,0.000000,121158.191576,93302.660931,76110.167072,-64419.022697,2176.284217,1176.050049,-430.759126,0.000000,77121.935114,3400089.369104,328.359360,
147.757000,31.104200,-0.250000,0.000000,121157.882497,93304.837219,76111.343119,-64419.453456,2176.291217,1176.044786,-430.758995,0.000000,77123.146905,3400090.565627,328.359360,
147.758000,31.104200,-0.250000,0.000000,121157.573418,93307.013513,76112.519161,-64419.884215,2176.298216,1176.039524,-430.758863,0.000000,77124.358691,3400091.762155,328.359360,
147.759000,31.104200,-0.250000,0.000000,121157.264339,93309.189815,76113.695198,-64420.314974,2176.305216,1176.034262,-430.758732,0.000000,77125.570473,3400092.958688,328.359360,
147.760000,31.104200,-0.250000,0.000000,121156.955260,93311.366124,76114.871230,-64420.745733,2176.312215,1176.028999,-430.758600,0.000000,77126.782251,3400094.155228,328.359360,
147.761000,31.154200,-0.300000,0.000000,121156.646181,93313.542439,76116.047256,-64421.176491,2176.319211,1176.023743,-430.758461,0.000000,77127.994024,3400095.351535,328.356897,
147.762000,31.154200,-0.300000,0.000000,121156.337102,93315.718762,76117.223277,-64421.607250,2176.326207,1176.018487,-430.758322,0.000000,77129.205792,3400096.547848,328.356897,
147.763000,31.154200,-0.300000,0.000000,121156.028023,93317.895092,76118.399293,-64422.038008,2176.333203,1176.013231,-430.758184,0.000000,77130.417557,3400097.744166,328.356897,
147.764000,31.154200,-0.300000,0.000000,121155.718944,93320.071429,76119.575304,-64422.468766,2176.340199,1176.007975,-430.758045,0.000000,77131.629317,3400098.940490,328.356897,
147.765000,31.154200,-0.300000,0.000000,121155.409865,93322.247772,76120.751309,-64422.899524,2176.347195,1176.002719,-430.757906,0.000000,77132.841072,3400100.136819,328.356897,
147.766000,31.154200,-0.300000,0.000000,121155.100786,93324.424123,76121.927309,-64423.330282,2176.354190,1175.997463,-430.757767,0.000000,77134.052823,3400101.333154,328.356897,
147.767000,31.154200,-0.300000,0.000000,121154.791707,93326.600481,76123.103304,-64423.761040,2176.361186,1175.992207,-430.757628,0.000000,77135.264570,3400102.529494,328.356897,
147.768000,31.154200,-0.300000,0.000000,121154.482628,93328.776845,76124.279294,-64424.191797,2176.368182,1175.986951,-430.757489,0.000000,77136.476312,3400103.725839,328.356897,
147.769000,31.154200,-0.300000,0.000000,121154.173549,93330.953217,76125.455278,-64424.622555,2176.375178,1175.981695,-430.757350,0.000000,77137.688050,3400104.922191,328.356897,
147.770000,31.154200,-0.300000,0.000000,121153.864470,93333.129596,76126.631257,-64425.053312,2176.382174,1175.976439,-430.757212,0.000000,77138.899783,3400106.118547,328.356897,
147.771000,31.204200,-0.350000,0.000000,121153.555391,93335.305981,76127.807231,-64425.484069,2176.389166,1175.971189,-430.757065,0.000000,77140.111512,3400107.314670,328.348350,
147.772000,31.204200,-0.350000,0.000000,121153.246312,93337.482374,76128.983199,-64425.914826,2176.396159,1175.965940,-430.756919,0.000000,77141.323237,3400108.510799,328.348350,
147.773000,31.204200,-0.350000,0.000000,121152.937233,93339.658774,76130.159163,-64426.345583,2176.403151,1175.960690,-430.756773,0.000000,77142.534957,3400109.706933,328.348350,
147.774000,31.204200,-0.350000,0.000000,121152.628154,93341.835180,76131.335121,-64426.776340,2176.410143,1175.955440,-430.756627,0.000000,77143.746673,3400110.903072,328.348350,
147.775000,31.204200,-0.350000,0.000000,121152.319075,93344.011594,76132.511074,-64427.207096,2176.417135,1175.950191,-430.756481,0.000000,77144.958385,3400112.099217,328.348350,
147.776000,31.204200,-0.350000,0.000000,121152.009996,93346.188015,76133.687021,-64427.637852,2176.424127,1175.944941,-430.756335,0.000000,77146.170092,3400113.295368,328.348350,
147.777000,31.204200,-0.350000,0.000000,121151.700917,93348.364442,76134.862963,-64428.068609,2176.431120,1175.939691,-430.756188,0.000000,77147.381794,3400114.491523,328.348350,
147.778000,31.204200,-0.350000,0.000000,121151.391838,93350.540877,76136.038901,-64428.499365,2176.438112,1175.934442,-430.756042,0.000000,77148.593493,3400115.687685,328.348350,
147.779000,31.204200,-0.350000,0.000000,121151.082759,93352.717318,76137.214832,-64428.930121,2176.445104,1175.929192,-430.755896,0.000000,77149.805186,3400116.883852,328.348350,
147.780000,31.204200,-0.350000,0.000000,121150.773680,93354.893767,76138.390759,-64429.360877,2176.452097,1175.923942,-430.755750,0.000000,77151.016876,3400118.080024,328.348350,
147.781000,31.254200,-0.400000,0.000000,121150.464601,93357.070223,76139.566680,-64429.791632,2176.459085,1175.918699,-430.755597,0.000000,77152.228561,3400119.275961,328.338134,
147.782000,31.254200,-0.400000,0.000000,121150.155522,93359.246685,76140.742596,-64430.222388,2176.466074,1175.913456,-430.755443,0.000000,77153.440242,3400120.471903,328.338134,
147.783000,31.254200,-0.400000,0.000000,121149.846443,93361.423155,76141.918507,-64430.653143,2176.473062,1175.908212,-430.755290,0.000000,77154.651918,3400121.667851,328.338134,
147.784000,31.254200,-0.400000,0.000000,121149.537364,93363.599631,76143.094413,-64431.083898,2176.480051,1175.902969,-430.755136,0.000000,77155.863590,3400122.863804,328.338134,
147.785000,31.254200,-0.400000,0.000000,121149.228285,93365.776115,76144.270313,-64431.514653,2176.487039,1175.897726,-430.754983,0.000000,77157.075257,3400124.059763,328.338134,
147.786000,31.254200,-0.400000,0.000000,121148.919206,93367.952605,76145.446208,-64431.945408,2176.494028,1175.892482,-430.754829,0.000000,77158.286921,3400125.255727,328.338134,
147.787000,31.254200,-0.400000,0.000000,121148.610127,93370.129103,76146.622098,-64432.376163,2176.501016,1175.887239,-430.754676,0.000000,77159.498579,3400126.451697,328.338134,
147.788000,31.254200,-0.400000,0.000000,121148.301048,93372.305607,76147.797983,-64432.806918,2176.508005,1175.881996,-430.754522,0.000000,77160.710234,3400127.647672,328.338134,
147.789000,31.254200,-0.400000,0.000000,121147.991969,93374.482119,76148.973862,-64433.237672,2176.514993,1175.876753,-430.754369,0.000000,77161.921884,3400128.843653,328.338134,
147.790000,31.254200,-0.400000,0.000000,121147.682890,93376.658637,76150.149736,-64433.668426,2176.521982,1175.871509,-430.754215,0.000000,77163.133529,3400130.039639,328.338134,
147.791000,31.304200,-0.450000,0.000000,121147.373811,93378.835163,76151.325605,-64434.099181,2176.528967,1175.866272,-430.754055,0.000000,77164.345171,3400131.235388,328.328187,
147.792000,31.304200,-0.450000,0.000000,121147.064732,93381.011695,76152.501469,-64434.529935,2176.535952,1175.861035,-430.753894,0.000000,77165.556807,3400132.431142,328.328187,
147.793000,31.304200,-0.450000,0.000000,121146.755653,93383.188235,76153.677327,-64434.960688,2176.542937,1175.855798,-430.753733,0.000000,77166.768440,3400133.626902,328.328187,
147.794000,31.304200,-0.450000,0.000000,121146.446574,93385.364781,76154.853180,-64435.391442,2176.549921,1175.850561,-430.753572,0.000000,77167.980068,3400134.822667,328.328187,
147.795000,31.304200,-0.450000,0.000000,121146.137495,93387.541335,76156.029028,-64435.822196,2176.556906,1175.845324,-430.753412,0.000000,77169.191692,3400136.018437,328.328187,
147.796000,31.304200,-0.450000,0.000000,121145.828416,93389.717895,76157.204871,-64436.252949,2176.563891,1175.840088,-430.753251,0.000000,77170.403311,3400137.214214,328.328187,
