time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,altitude,delta_pos_x,delta_pos_y,delta_pos_z,delta_vel_x,delta_vel_y,delta_vel_z,phi_deg,psi_deg,time_to_go,sma,eccentricity,inclination_deg,target_sma,target_ecc,target_inc_deg
167.8,132805.4343,92120.60522,-57352.67536,2351.85101,924.4732399,-325.25675,115470.49,94741.58542,-1295029.466,46898.40522,96460.62464,-5325.20149,2663.60374,-35.23124997,21.68267875,-3.934540539,299.6679352,3411713.148,0.9111683981,93.06422678,6740599.4,0.02402729,97.461979
168.8,135161.2981,93041.9479,-57677.5844,2359.880491,918.2121144,-324.5621029,115153.545,95714.47877,-1292673.602,47819.7479,96135.7156,-5317.172009,2657.342614,-34.53660293,21.5980601,-3.891179402,298.6739006,3413014.505,0.9105672688,93.09669136,6740599.4,0.02402729,97.461979
169.8,137525.2035,93957.02942,-58001.80111,2367.934569,911.9508996,-323.8720724,114836.6,96682.13828,-1290309.696,48734.82942,95811.49889,-5309.117931,2651.0814,-33.84657241,21.51332197,-3.84784153,297.6798699,3414323.366,0.9099618691,93.12892541,6740599.4,0.02402729,97.461979
170.8,139897.1754,94865.84965,-58325.3301,2376.013373,905.6895358,-323.1866842,114519.655,97644.57281,-1287937.725,49643.64965,95487.9699,-5301.039127,2644.820036,-33.16118425,21.42846424,-3.804527276,296.6858429,3415639.802,0.9093521668,93.1609299,6740599.4,0.02402729,97.461979
171.8,142277.2386,95768.40842,-58648.17603,2384.117033,899.4279629,-322.5059644,114202.71,98601.79127,-1285557.661,50546.20842,95165.12397,-5292.935467,2638.558463,-32.48046444,21.34348676,-3.761236997,295.6918198,3416963.89,0.9087381292,93.1927058,6740599.4,0.02402729,97.461979
172.8,144665.4178,96664.70549,-58970.34359,2392.245681,893.1661206,-321.8299391,113885.765,99553.80254,-1283169.482,51442.50549,94842.95641,-5284.806819,2632.296621,-31.80443911,21.2583894,-3.717971053,294.6978005,3418295.703,0.9081197235,93.22425407,6740599.4,0.02402729,97.461979
173.8,147061.7383,97554.74055,-59291.83748,2400.39945,886.9039484,-321.1586345,113568.82,100500.6155,-1280773.162,52332.54055,94521.46252,-5276.65305,2626.034448,-31.13313452,21.17317203,-3.674729811,293.7037849,3419635.319,0.9074969164,93.25557566,6740599.4,0.02402729,97.461979
174.8,149466.2251,98438.51326,-59612.66244,2408.578474,880.6413852,-320.492077,113251.875,101442.2392,-1278368.675,53216.31326,94200.63756,-5268.474026,2619.771885,-30.46657705,21.0878345,-3.631513639,292.709773,3420982.814,0.9068696745,93.28667153,6740599.4,0.02402729,97.461979
175.8,151878.9037,99316.02317,-59932.82323,2416.782887,874.3783698,-319.8302932,112934.93,102378.6824,-1275955.996,54093.82317,93880.47677,-5260.269613,2613.50887,-29.80479324,21.00237669,-3.588322913,291.7157648,3422338.265,0.9062379639,93.31754262,6740599.4,0.02402729,97.461979
176.8,154299.7994,100187.2698,-60252.32463,2425.012826,868.1148406,-319.1733098,112617.985,103309.9542,-1273535.101,54965.06982,93560.97537,-5252.039674,2607.245341,-29.14780976,20.91679846,-3.545158009,290.7217602,3423701.752,0.9056017504,93.3481899,6740599.4,0.02402729,97.461979
177.8,156728.9379,101052.2527,-60571.17146,2433.268426,861.8507355,-318.5211534,112301.04,104236.0634,-1271105.962,55830.05266,93242.12854,-5243.784074,2600.981235,-28.49565343,20.83109967,-3.502019312,289.7277592,3425073.355,0.9049609995,93.37861429,6740599.4,0.02402729,97.461979
178.8,159166.3449,101910.9711,-60889.36855,2441.549827,855.5859923,-317.8738512,111984.095,105157.0191,-1268668.555,56688.77108,92923.93145,-5235.502673,2594.716492,-27.84835119,20.74528018,-3.458907209,288.7337618,3426453.153,0.9043156764,93.40881674,6740599.4,0.02402729,97.461979
179.8,161612.0462,102763.4244,-61206.92079,2449.857168,849.3205483,-317.2314301,111667.15,106072.8303,-1266222.854,57541.22441,92606.37921,-5227.195332,2588.451048,-27.20593013,20.65933987,-3.415822092,287.7397679,3427841.228,0.9036657459,93.43879819,6740599.4,0.02402729,97.461979
